Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
GURDASPUR,INC,0,10000000.0,85 Lac+,PUNJAB,Others
RAJPUR ROAD (SC),BJP,0,20000000.0,3 Lac+,UTTARAKHAND,8th Pass
AMROHA,SP,1,70000000.0,33 Lac+,UTTAR PRADESH,12th Pass
KHONSA EAST,BJP,0,8400000.0,0,ARUNACHAL PRADESH,12th Pass
MADUGULA,YSRCP,1,10000000.0,5 Lac+,ANDHRA PRADESH,12th Pass
PRIOL,BJP,1,20000000.0,29 Lac+,GOA,Others
JAGDISHPUR,RJD,0,40000000.0,19 Lac+,BIHAR,Graduate
KATWA,AITC,0,20000000.0,0,WEST BENGAL,Graduate
GARHWA,JMM,2,100000000.0,36 Lac+,JHARKHAND,Graduate
CHAKSU (SC),BJP,0,0.0,24 Lac+,RAJASTHAN,10th Pass
NAGOD,BJP,0,60000000.0,0,MADHYA PRADESH,Graduate
ROSERA (SC),BJP,0,10000000.0,0,BIHAR,Graduate
MAHESANA,BJP,0,0.0,2 Crore+,GUJARAT,Graduate Professional
CHIKKODI-SADALGA,INC,0,170000000.0,2 Crore+,KARNATAKA,Graduate Professional
MINAPUR,RJD,5,20000000.0,50 Lac+,BIHAR,12th Pass
NABAGRAM (SC),AITC,9,6400000.0,4 Lac+,WEST BENGAL,Graduate
BEHALI,BJP,0,60000000.0,61 Lac+,ASSAM,12th Pass
SIKAR,INC,0,20000000.0,89 Lac+,RAJASTHAN,Graduate
SAKOLI,INC,7,20000000.0,11 Lac+,MAHARASHTRA,12th Pass
KADUR,INC,2,40000000.0,41 Lac+,KARNATAKA,Graduate
TUNDI,JMM,0,0.0,0,JHARKHAND,10th Pass
TILHAR,BJP,2,120000000.0,2 Crore+,UTTAR PRADESH,Post Graduate
SAIDPUR (SC),SP,0,20000000.0,1 Crore+,UTTAR PRADESH,Graduate
MANDU,BJP,2,30000000.0,62 Lac+,JHARKHAND,Graduate
KUDLIGI (ST),INC,0,150000000.0,3 Crore+,KARNATAKA,Post Graduate
ATHOOR,DMK,12,70000000.0,1 Crore+,TAMIL NADU,Graduate
UDAIPUR,BJP,0,510000000.0,7 Crore+,RAJASTHAN,12th Pass
ANGAMALY,INC,5,10000000.0,19 Lac+,KERALA,Post Graduate
ADARSH NAGAR,INC,1,510000000.0,30 Crore+,RAJASTHAN,12th Pass
BAWANA,AAP,2,10000000.0,1 Lac+,DELHI,12th Pass
METIABURUZ,AITC,2,8300000.0,2 Lac+,WEST BENGAL,10th Pass
DANTA RAMGARH,INC,0,60000000.0,84 Lac+,RAJASTHAN,Graduate
BARODA,INC,0,240000000.0,1 Crore+,HARYANA,8th Pass
SORAB,INC,2,690000000.0,26 Crore+,KARNATAKA,Graduate
BALH (SC),BJP,0,30000000.0,56 Lac+,HIMACHAL PRADESH,10th Pass
AURANGABAD,INC,3,30000000.0,9 Lac+,BIHAR,Post Graduate
GHATKOPAR WEST,BJP,2,460000000.0,14 Crore+,MAHARASHTRA,12th Pass
CHIKHLI,BJP,1,0.0,63 Lac+,MAHARASHTRA,10th Pass
KAMAKHYANAGAR,BJD,1,3100000.0,0,ODISHA,Graduate Professional
KHANAPUR,BJP,0,30000000.0,2 Crore+,KARNATAKA,Graduate Professional
KAMALPUR,BJP,3,30000000.0,1 Crore+,ASSAM,Graduate
GOHPUR,BJP,0,40000000.0,1 Crore+,ASSAM,Graduate Professional
PARSA,RJD,3,20000000.0,13 Lac+,BIHAR,10th Pass
BHALKI,INC,7,0.0,58 Lac+,KARNATAKA,Graduate Professional
DALHOUSIE,BJP,0,150000000.0,74 Lac+,HIMACHAL PRADESH,10th Pass
BHORANJ (SC),INC,0,7100000.0,0,HIMACHAL PRADESH,Post Graduate
VIJAYAWADA CENTRAL,YSRCP,2,90000000.0,2 Crore+,ANDHRA PRADESH,12th Pass
AROOR,CPI(M),0,10000000.0,0,KERALA,10th Pass
CHANDANNAGAR,AITC,0,90000000.0,3 Crore+,WEST BENGAL,12th Pass
DINDOSHI,SHS,0,0.0,45 Lac+,MAHARASHTRA,10th Pass
KANTHI DAKSHIN,BJP,0,10000000.0,0,WEST BENGAL,Post Graduate
BRAHAMPUR,RJD,4,70000000.0,13 Crore+,BIHAR,10th Pass
BORDUMSA - DIYUM,IND,0,10000000.0,0,ARUNACHAL PRADESH,10th Pass
DHARAVI (SC),INC,1,40000000.0,22 Lac+,MAHARASHTRA,Post Graduate
RAMBRAI JYRNGAM (ST),IND,0,2000000.0,6 Lac+,MEGHALAYA,Post Graduate
GIRIDIH,JMM,1,30000000.0,52 Lac+,JHARKHAND,12th Pass
SINDHKHEDA,BJP,2,160000000.0,56 Lac+,MAHARASHTRA,Graduate
MODASA,BJP,0,40000000.0,2 Crore+,GUJARAT,10th Pass
JOWAI (ST),NPP,0,10000000.0,0,MEGHALAYA,12th Pass
OBRA (ST),BJP,0,40000000.0,11 Lac+,UTTAR PRADESH,10th Pass
SONARI,BJP,0,10000000.0,3 Lac+,ASSAM,12th Pass
RAMPUR MANIHARAN (SC),BJP,0,50000000.0,30 Lac+,UTTAR PRADESH,Graduate
LAUKAHA,RJD,0,20000000.0,0,BIHAR,Post Graduate
ISLAMPUR,AITC,4,10000000.0,14 Lac+,WEST BENGAL,12th Pass
MANU (ST),BJP,1,400000.0,0,TRIPURA,8th Pass
NASIRABAD,BJP,0,30000000.0,1 Crore+,RAJASTHAN,Graduate
ARAMBAG (SC),BJP,1,4900000.0,20 Lac+,WEST BENGAL,Post Graduate
DADENGGRE (ST),AITC,0,500000.0,0,MEGHALAYA,Graduate
SAGAR,AITC,0,9000000.0,0,WEST BENGAL,Post Graduate
KAMTHI,BJP,0,20000000.0,9 Lac+,MAHARASHTRA,10th Pass
SANKARANKOVIL (SC),DMK,3,60000000.0,38 Lac+,TAMIL NADU,Post Graduate
VIZIANAGARAM,YSRCP,3,130000000.0,3 Crore+,ANDHRA PRADESH,12th Pass
CHAYGAON,INC,5,30000000.0,61 Lac+,ASSAM,12th Pass
JORASANKO,AITC,0,310000000.0,0,WEST BENGAL,Graduate
TALALA,BJP,0,120000000.0,89 Lac+,GUJARAT,Graduate
ABOI (ST),IND,0,1400000.0,0,NAGALAND,Post Graduate
BOBBILI,YSRCP,0,50000000.0,27 Lac+,ANDHRA PRADESH,12th Pass
LUNDRA (ST),BJP,0,50000000.0,6 Lac+,CHHATTISGARH,Others
RAPTADU,YSRCP,5,20000000.0,1 Lac+,ANDHRA PRADESH,Graduate Professional
ALAPUR (SC),SP,1,30000000.0,1 Crore+,UTTAR PRADESH,12th Pass
CHURAH (SC),BJP,2,20000000.0,36 Lac+,HIMACHAL PRADESH,Doctorate
KALCHINI (ST),BJP,6,800000.0,3 Lac+,WEST BENGAL,Graduate
RADHAKISHORPUR,BJP,0,70000000.0,21 Lac+,TRIPURA,Graduate
KAKRABAN-SHALGARA (SC),BJP,1,6800000.0,35 Lac+,TRIPURA,Graduate
DWARKA,AAP,0,70000000.0,78 Lac+,DELHI,Post Graduate
TIRORA,BJP,3,0.0,9 Lac+,MAHARASHTRA,Graduate
LALITPUR,BJP,2,30000000.0,15 Lac+,UTTAR PRADESH,Graduate Professional
DEOLI,INC,0,180000000.0,1 Crore+,MAHARASHTRA,Post Graduate
BANSGAON (SC),BJP,0,260000000.0,2 Crore+,UTTAR PRADESH,Post Graduate
HUZUR,BJP,1,80000000.0,3 Crore+,MADHYA PRADESH,Graduate
SHAHDARA,AAP,1,40000000.0,8 Lac+,DELHI,Graduate
JALANDHAR NORTH,INC,0,330000000.0,0,PUNJAB,12th Pass
MYLLIEM (ST),INC,0,5200000.0,12 Lac+,MEGHALAYA,12th Pass
MEJA,SP,3,110000000.0,3 Crore+,UTTAR PRADESH,Graduate
RAJA PAKAR (SC),INC,1,9400000.0,17 Lac+,BIHAR,Graduate Professional
RAINA (SC),AITC,0,300000.0,0,WEST BENGAL,Graduate
HASTINAPUR (SC),BJP,4,20000000.0,47 Lac+,UTTAR PRADESH,8th Pass
KANTABANJI,INC,7,0.0,7 Lac+,ODISHA,Graduate
CHINCHOLI (SC),BJP,0,20000000.0,96 Lac+,KARNATAKA,Graduate Professional
BASAVAKALYAN,BJP,1,40000000.0,46 Lac+,KARNATAKA,Post Graduate
GWALIOR RURAL,INC,6,270000000.0,15 Lac+,MADHYA PRADESH,Graduate
MOHAN (SC),BJP,0,40000000.0,7 Lac+,UTTAR PRADESH,Post Graduate
DALU (ST),NPP,0,160000000.0,0,MEGHALAYA,Graduate
UTTAM NAGAR,AAP,0,560000000.0,19 Lac+,DELHI,8th Pass
BAGAHA,BJP,1,10000000.0,2 Lac+,BIHAR,12th Pass
KHOWAI,CPI(M),0,2700000.0,25 Lac+,TRIPURA,Graduate
SARAIRANJAN,JD(U),0,0.0,0,BIHAR,Post Graduate
DOMJUR,AITC,2,50000000.0,13 Lac+,WEST BENGAL,12th Pass
PALAKONDA,YSRCP,0,10000000.0,10 Lac+,ANDHRA PRADESH,Post Graduate
HUSAINGANJ,SP,0,10000000.0,0,UTTAR PRADESH,12th Pass
DIBIYAPUR,SP,2,60000000.0,20 Lac+,UTTAR PRADESH,Graduate Professional
KISHANGARH BAS,INC,0,30000000.0,0,RAJASTHAN,Graduate Professional
JIRIBAM,JD(U),0,0.0,28 Lac+,MANIPUR,12th Pass
LADPURA,BJP,0,560000000.0,2 Crore+,RAJASTHAN,12th Pass
HASANPUR,BJP,0,10000000.0,21 Lac+,UTTAR PRADESH,8th Pass
ARANMULA,CPI(M),0,20000000.0,1 Crore+,KERALA,Post Graduate
MOIRANG,NPP,0,70000000.0,0,MANIPUR,12th Pass
KOHIMA TOWN (ST),NPP,0,220000000.0,0,NAGALAND,Post Graduate
NAGAMANGALA,INC,1,710000000.0,16 Crore+,KARNATAKA,10th Pass
NIWAI (SC),BJP,0,20000000.0,0,RAJASTHAN,12th Pass
NIMBAHERA,BJP,0,50000000.0,1 Crore+,RAJASTHAN,Graduate
PAKKE KESSANG,BJP,0,70000000.0,29 Lac+,ARUNACHAL PRADESH,10th Pass
ELATHUR,NCP,0,20000000.0,0,KERALA,10th Pass
DIMAPUR-II (ST),NDPP,0,60000000.0,19 Lac+,NAGALAND,Post Graduate
SANWER (SC),BJP,1,140000000.0,11 Lac+,MADHYA PRADESH,Post Graduate
MALKANGIRI,BJP,0,1200000.0,80 Thou+,ODISHA,12th Pass
BADAUN,BJP,0,50000000.0,28 Lac+,UTTAR PRADESH,10th Pass
MAHESHWAR (SC),BJP,1,60000000.0,67 Lac+,MADHYA PRADESH,12th Pass
JAMBUSAR,BJP,0,9900000.0,71 Lac+,GUJARAT,Post Graduate
CHITTOOR,YSRCP,4,790000000.0,7 Crore+,ANDHRA PRADESH,12th Pass
NAUTAN,BJP,0,10000000.0,7 Lac+,BIHAR,10th Pass
TAMAR (ST),JMM,0,5100000.0,19 Lac+,JHARKHAND,Graduate
SUWASRA,BJP,0,10000000.0,30 Lac+,MADHYA PRADESH,Post Graduate
RAMTEK,IND,1,50000000.0,85 Lac+,MAHARASHTRA,Graduate Professional
TIRUCHENDUR,DMK,16,50000000.0,67 Lac+,TAMIL NADU,10th Pass
CANNING PURBA,AITC,0,30000000.0,48 Lac+,WEST BENGAL,Graduate
DEVARA HIPPARGI,JD(S),0,40000000.0,1 Crore+,KARNATAKA,Graduate
HALDIA (SC),BJP,0,8100000.0,0,WEST BENGAL,10th Pass
ATAM NAGAR,AAP,0,170000000.0,40 Lac+,PUNJAB,Graduate Professional
ATMAKUR,YSRCP,3,610000000.0,1 Lac+,ANDHRA PRADESH,Post Graduate
GAJAPATHINAGARAM,YSRCP,0,90000000.0,40 Lac+,ANDHRA PRADESH,Graduate Professional
GARAUTHA,BJP,1,20000000.0,32 Lac+,UTTAR PRADESH,Graduate Professional
RUDHAULI,SP,1,110000000.0,4 Crore+,UTTAR PRADESH,Post Graduate
KORBA,BJP,0,0.0,0,CHHATTISGARH,12th Pass
PULAKESHINAGAR (SC),INC,0,1870000000.0,111 Crore+,KARNATAKA,Graduate
GHATSILA (ST),JMM,5,90000000.0,6 Lac+,JHARKHAND,Graduate
SAWAYAZPUR,BJP,0,110000000.0,25 Lac+,UTTAR PRADESH,Graduate
FATEHGARH CHURIAN,INC,0,0.0,2 Crore+,PUNJAB,Graduate
PADRAUNA,BJP,0,210000000.0,16 Lac+,UTTAR PRADESH,Graduate
KOTHRUD,BJP,2,50000000.0,42 Lac+,MAHARASHTRA,Graduate
JABALPUR PASCHIM,BJP,0,40000000.0,0,MADHYA PRADESH,Graduate
SARANGPUR (SC),BJP,1,8900000.0,0,MADHYA PRADESH,Graduate
HATIA,BJP,1,50000000.0,1 Crore+,JHARKHAND,12th Pass
SYANA,BJP,0,30000000.0,28 Lac+,UTTAR PRADESH,Graduate Professional
PILIBANGA (SC),INC,0,3600000.0,12 Lac+,RAJASTHAN,Graduate Professional
SHYAMPUR,AITC,0,8300000.0,0,WEST BENGAL,Graduate Professional
SANKARAPURAM,DMK,38,80000000.0,1 Crore+,TAMIL NADU,Graduate
MURARAI,AITC,0,30000000.0,16 Lac+,WEST BENGAL,Graduate Professional
VIKASNAGAR,BJP,0,60000000.0,1 Crore+,UTTARAKHAND,Post Graduate
BIRAMITRAPUR,BJP,2,9900000.0,10 Lac+,ODISHA,10th Pass
SAYAJIGUNJ,BJP,0,100000000.0,0,GUJARAT,Post Graduate
NEYVELI,DMK,7,0.0,72 Lac+,TAMIL NADU,Graduate Professional
NACHO,BJP,0,10000000.0,0,ARUNACHAL PRADESH,Post Graduate
AMALNER,NCP,4,50000000.0,90 Lac+,MAHARASHTRA,Post Graduate
RAIPUR CITY NORTH,BJP,0,110000000.0,4 Crore+,CHHATTISGARH,Doctorate
KHATEGAON,BJP,0,10000000.0,14 Lac+,MADHYA PRADESH,Post Graduate
KAPU,BJP,3,330000000.0,3 Crore+,KARNATAKA,Graduate
CHAUBATTAKHAL,BJP,0,0.0,0,UTTARAKHAND,12th Pass
BAITHALANGSO (ST),BJP,0,7500000.0,0,ASSAM,Graduate
KANNAUJ (SC),BJP,0,80000000.0,0,UTTAR PRADESH,Post Graduate
PATHARDEVA,BJP,0,60000000.0,0,UTTAR PRADESH,Graduate Professional
MANVI (ST),INC,0,20000000.0,34 Lac+,KARNATAKA,10th Pass
PALAKKAD,INC,25,5600000.0,13 Lac+,KERALA,Post Graduate
WAZIRGANJ,BJP,2,10000000.0,3 Lac+,BIHAR,Graduate
VISHWAS NAGAR,BJP,2,240000000.0,3 Crore+,DELHI,Graduate
KOTPUTLI,BJP,0,30000000.0,0,RAJASTHAN,8th Pass
AGRA NORTH,BJP,0,10000000.0,0,UTTAR PRADESH,10th Pass
ADARSH NAGAR,AAP,2,10000000.0,9 Lac+,DELHI,12th Pass
PALAYAMKOTTAI,DMK,26,20000000.0,20 Lac+,TAMIL NADU,Graduate
KHAJUWALA (SC),BJP,0,20000000.0,44 Lac+,RAJASTHAN,Graduate Professional
CHANDRAPUR,INC,0,1000000.0,0,CHHATTISGARH,8th Pass
MAHASAMUND,BJP,1,120000000.0,1 Crore+,CHHATTISGARH,Graduate
BALAMAU (SC),BJP,1,40000000.0,12 Lac+,UTTAR PRADESH,Post Graduate
SURKHI,BJP,2,140000000.0,2 Crore+,MADHYA PRADESH,Post Graduate
SADULSHAHAR,BJP,0,40000000.0,0,RAJASTHAN,Graduate Professional
KOLAR GOLD FIELD (SC),INC,2,120000000.0,1 Crore+,KARNATAKA,Post Graduate
PARBATSAR,INC,5,10000000.0,23 Lac+,RAJASTHAN,Post Graduate
CHURACHANDPUR (ST),JD(U),0,70000000.0,10 Lac+,MANIPUR,Post Graduate
PANAJI,BJP,3,480000000.0,6 Crore+,GOA,12th Pass
ARANG (SC),BJP,0,20000000.0,1 Crore+,CHHATTISGARH,Post Graduate
PARASWADA,INC,1,3100000.0,0,MADHYA PRADESH,12th Pass
BANGRIPOSI,BJD,11,20000000.0,5 Lac+,ODISHA,12th Pass
GUNDERDEHI,INC,0,5400000.0,3 Lac+,CHHATTISGARH,Post Graduate
KARIMPUR,AITC,0,20000000.0,3 Lac+,WEST BENGAL,Post Graduate
JHAJJAR (SC),INC,0,60000000.0,1 Crore+,HARYANA,Post Graduate
SRINIVASAPUR,JD(S),1,150000000.0,25 Thou+,KARNATAKA,Graduate Professional
ANUPGARH (SC),INC,0,20000000.0,59 Lac+,RAJASTHAN,Post Graduate
TENALI,YSRCP,1,270000000.0,5 Crore+,ANDHRA PRADESH,Graduate
BAINDUR,BJP,1,90000000.0,10 Crore+,KARNATAKA,Others
KHARSAWAN (ST),JMM,6,40000000.0,20 Lac+,JHARKHAND,Graduate
LONI,BJP,5,20000000.0,35 Thou+,UTTAR PRADESH,Post Graduate
MOHAMMDI,BJP,0,0.0,10 Lac+,UTTAR PRADESH,Graduate Professional
GUDIVADA,YSRCP,4,140000000.0,2 Crore+,ANDHRA PRADESH,8th Pass
PATIALA,AAP,1,320000000.0,42 Lac+,PUNJAB,Post Graduate
BOMMANAHALLI,BJP,0,1220000000.0,47 Crore+,KARNATAKA,10th Pass
NARENDRANAGAR,BJP,0,10000000.0,1 Crore+,UTTARAKHAND,Post Graduate
JAGATBALLAVPUR,AITC,0,20000000.0,0,WEST BENGAL,12th Pass
GANGANAGAR,BJP,3,120000000.0,4 Crore+,RAJASTHAN,Graduate
BILGI,INC,0,30000000.0,4 Crore+,KARNATAKA,Graduate
PHULERA,INC,0,700000000.0,13 Crore+,RAJASTHAN,Post Graduate
JOYPUR,BJP,3,10000000.0,2 Lac+,WEST BENGAL,Post Graduate
GUNA (SC),BJP,0,6100000.0,3 Lac+,MADHYA PRADESH,Graduate Professional
AGAR (SC),BJP,0,80000000.0,57 Lac+,MADHYA PRADESH,12th Pass
WOKHA (ST),NCP,0,70000000.0,0,NAGALAND,Post Graduate
MODEL TOWN,AAP,4,1500000.0,27 Lac+,DELHI,Post Graduate
BILSI,BJP,0,10000000.0,6 Lac+,UTTAR PRADESH,Post Graduate
DASARAHALLI,BJP,0,280000000.0,8 Crore+,KARNATAKA,10th Pass
NIPHAD,NCP,4,680000000.0,4 Crore+,MAHARASHTRA,Graduate
MANGALORE,INC,3,60000000.0,69 Lac+,KARNATAKA,Graduate Professional
RADHANPUR,BJP,0,6600000.0,9 Lac+,GUJARAT,Literate
DENDULURU,YSRCP,2,150000000.0,6 Crore+,ANDHRA PRADESH,Graduate Professional
JAYANAGAR,BJP,3,330000000.0,4 Crore+,KARNATAKA,12th Pass
DONGARGAON,INC,0,0.0,2 Lac+,CHHATTISGARH,12th Pass
JALPAIGURI (SC),AITC,1,20000000.0,18 Lac+,WEST BENGAL,Graduate Professional
TUTING YINGKIONG,BJP,0,20000000.0,0,ARUNACHAL PRADESH,Graduate
GOALPOKHAR,AITC,3,10000000.0,41 Lac+,WEST BENGAL,Post Graduate
BIJAWAR,BJP,0,60000000.0,36 Lac+,MADHYA PRADESH,12th Pass
MAHESHTALA,AITC,0,130000000.0,2 Crore+,WEST BENGAL,8th Pass
PANDARIYA,BJP,0,330000000.0,6 Crore+,CHHATTISGARH,Post Graduate
HARBOUR,DMK,25,20000000.0,17 Lac+,TAMIL NADU,10th Pass
DEOBAND,BJP,1,10000000.0,12 Lac+,UTTAR PRADESH,Graduate
TIRUTTANI,DMK,0,40000000.0,3 Lac+,TAMIL NADU,Graduate Professional
KINATHUKADAVU,AIADMK,0,50000000.0,0,TAMIL NADU,10th Pass
SANGMNER,INC,0,0.0,17 Lac+,MAHARASHTRA,Graduate Professional
VADODARA CITY (SC),BJP,0,20000000.0,18 Lac+,GUJARAT,Doctorate
PHOOLPUR-PAWAI,SP,3,100000000.0,0,UTTAR PRADESH,10th Pass
BALIKUDA-ERASAMA,BJD,0,30000000.0,4 Lac+,ODISHA,Graduate Professional
SANGUEM,BJP,0,80000000.0,1 Crore+,GOA,Post Graduate
ALUVA,INC,18,6200000.0,40 Lac+,KERALA,10th Pass
KHEM KARAN,AAP,0,10000000.0,32 Lac+,PUNJAB,8th Pass
BHABUA,RJD,4,8400000.0,0,BIHAR,10th Pass
HINGOLI,BJP,1,20000000.0,95 Lac+,MAHARASHTRA,10th Pass
TITLAGARH,BJD,0,40000000.0,16 Lac+,ODISHA,Graduate
FATEPURA (ST),BJP,0,0.0,0,GUJARAT,Others
CHELAKKARA,CPI(M),1,3400000.0,4 Lac+,KERALA,Graduate
BELONIA,CPI(M),4,2700000.0,0,TRIPURA,12th Pass
BAHARAGORA,JMM,3,600000.0,4 Lac+,JHARKHAND,Graduate
ISLAMPUR,NCP,0,160000000.0,0,MAHARASHTRA,12th Pass
BHARTHANA (SC),SP,1,10000000.0,50 Lac+,UTTAR PRADESH,Post Graduate
THIRUNALLAR,IND,1,3700000.0,0,PUDUCHERRY,Graduate Professional
MEHNAGAR (SC),SP,0,10000000.0,36 Lac+,UTTAR PRADESH,Post Graduate
MUHAMMADABAD-GOHNA (SC),SP,2,10000000.0,0,UTTAR PRADESH,Graduate
KUDACHI (SC),INC,1,70000000.0,25 Lac+,KARNATAKA,Graduate
VARKALA,CPI(M),1,5900000.0,14 Lac+,KERALA,Graduate Professional
SARENI,SP,0,20000000.0,15 Lac+,UTTAR PRADESH,Post Graduate
TUFANGANJ,BJP,9,7100000.0,1 Lac+,WEST BENGAL,Graduate
MUNGELI (SC),BJP,0,50000000.0,0,CHHATTISGARH,12th Pass
MUZAFFARPUR,INC,6,20000000.0,36 Lac+,BIHAR,Graduate
BALASINOR,BJP,1,0.0,6 Lac+,GUJARAT,Graduate Professional
KRISHNANAGAR DAKSHIN,AITC,0,70000000.0,1 Crore+,WEST BENGAL,Graduate
SAHARA,BJP,0,200000000.0,5 Crore+,RAJASTHAN,10th Pass
MANT,BJP,1,70000000.0,95 Lac+,UTTAR PRADESH,Graduate Professional
KARJAT,SHS,3,190000000.0,2 Crore+,MAHARASHTRA,10th Pass
BAGHA PURANA,AAP,1,6200000.0,0,PUNJAB,Graduate Professional
CHILIKA,BJD,10,20000000.0,1 Crore+,ODISHA,12th Pass
JAT,INC,2,40000000.0,35 Lac+,MAHARASHTRA,Graduate
KALAMASSERY,CPI(M),3,50000000.0,13 Lac+,KERALA,Graduate Professional
BARAMATI,NCP,1,750000000.0,3 Crore+,MAHARASHTRA,10th Pass
PARNER,NCP,4,7500000.0,32 Lac+,MAHARASHTRA,Graduate
BRAHMAGIRI,BJP,2,0.0,11 Lac+,ODISHA,Post Graduate
HOSHANGABAD,BJP,0,130000000.0,25 Lac+,MADHYA PRADESH,Graduate Professional
GUNDLUPET,INC,0,270000000.0,16 Crore+,KARNATAKA,Graduate
PRATAPGARH (ST),BJP,0,30000000.0,14 Lac+,RAJASTHAN,Graduate
SHIRUR,NCP,2,130000000.0,2 Crore+,MAHARASHTRA,Graduate Professional
BISHENPUR,BJP,0,80000000.0,30 Lac+,MANIPUR,Graduate
UNGUTURU,YSRCP,0,70000000.0,54 Lac+,ANDHRA PRADESH,12th Pass
CHITRAKOOT,BJP,0,140000000.0,0,MADHYA PRADESH,Post Graduate
DASUYA,AAP,1,10000000.0,98 Lac+,PUNJAB,Graduate Professional
ALAPPUZHA,CPI(M),8,9700000.0,0,KERALA,10th Pass
NEPANAGAR (ST),BJP,1,7800000.0,0,MADHYA PRADESH,Graduate Professional
DASADA (SC),BJP,0,9100000.0,12 Lac+,GUJARAT,Others
NUNGBA (ST),BJP,1,10000000.0,0,MANIPUR,Post Graduate
CHAMARAJA,INC,0,30000000.0,68 Lac+,KARNATAKA,12th Pass
MUKTAINAGAR,IND,0,20000000.0,45 Lac+,MAHARASHTRA,12th Pass
HARIHARPARA,AITC,1,20000000.0,9 Lac+,WEST BENGAL,8th Pass
LANSDOWNE,BJP,2,10000000.0,29 Lac+,UTTARAKHAND,Graduate
BERMO,INC,0,130000000.0,0,JHARKHAND,12th Pass
DUM DUM,AITC,0,30000000.0,0,WEST BENGAL,Post Graduate
T. NARASIPUR (SC),INC,2,30000000.0,44 Lac+,KARNATAKA,Graduate Professional
YAISKUL,BJP,0,0.0,0,MANIPUR,Post Graduate
CHARILAM (ST),Tipra Motha Party,0,5000000.0,0,TRIPURA,Post Graduate
RENGALI,BJP,6,6100000.0,12 Lac+,ODISHA,Graduate Professional
THONOKNYU (ST),NPP,0,20000000.0,0,NAGALAND,Graduate
BELAGANJ,RJD,9,80000000.0,41 Lac+,BIHAR,Post Graduate
CHINTPURNI (SC),INC,3,20000000.0,10 Crore+,HIMACHAL PRADESH,12th Pass
NAKUR,BJP,3,20000000.0,15 Lac+,UTTAR PRADESH,Graduate
DEDIAPADA (ST),AAP,8,6000000.0,0,GUJARAT,Graduate
TADIPATRI,YSRCP,8,50000000.0,1 Crore+,ANDHRA PRADESH,8th Pass
TADUBI (ST),NPP,0,20000000.0,0,MANIPUR,12th Pass
NARAINI (SC),BJP,0,5100000.0,2 Hund+,UTTAR PRADESH,Graduate
ANGUL,BJD,0,20000000.0,16 Lac+,ODISHA,Post Graduate
JAJPUR,BJD,0,10000000.0,0,ODISHA,12th Pass
SISAI (ST),JMM,1,5700000.0,0,JHARKHAND,10th Pass
PATNA SAHIB,BJP,1,0.0,0,BIHAR,12th Pass
DHANGHATA (SC),BJP,0,10000000.0,15 Lac+,UTTAR PRADESH,Graduate
TEONTHAR,BJP,0,0.0,0,MADHYA PRADESH,Graduate Professional
ANUPPUR (ST),BJP,12,140000000.0,1 Crore+,MADHYA PRADESH,Graduate
LUCKNOW EAST,BJP,1,80000000.0,0,UTTAR PRADESH,Graduate
DHARAMKOT,AAP,0,4900000.0,17 Lac+,PUNJAB,Graduate
TEHATTA,AITC,1,5500000.0,0,WEST BENGAL,Graduate
SAKTI,INC,0,200000000.0,10 Lac+,CHHATTISGARH,Doctorate
PONDA,BJP,1,140000000.0,39 Thou+,GOA,Post Graduate
ANKLESHWAR,BJP,0,40000000.0,74 Lac+,GUJARAT,Graduate
LUMDING,BJP,0,8700000.0,6 Lac+,ASSAM,10th Pass
DIGRAS,SHS,4,80000000.0,2 Crore+,MAHARASHTRA,Graduate Professional
KHAMBHALIA,BJP,0,50000000.0,2 Lac+,GUJARAT,10th Pass
DHAKA,BJP,5,50000000.0,60 Lac+,BIHAR,Graduate
THARAD,BJP,0,0.0,15 Lac+,GUJARAT,Post Graduate
MARWAHI (ST),BJP,0,7100000.0,12 Lac+,CHHATTISGARH,Post Graduate
KAMREJ,BJP,0,190000000.0,2 Crore+,GUJARAT,Graduate
RAJARAJESHWARINAGAR,BJP,8,2930000000.0,102 Crore+,KARNATAKA,10th Pass
TAMLU (ST),IND,0,10000000.0,0,NAGALAND,10th Pass
NAVELIM,BJP,0,20000000.0,1 Lac+,GOA,Others
DHAURAHRA,BJP,1,20000000.0,3 Lac+,UTTAR PRADESH,Post Graduate
MALAVALLI (SC),INC,1,0.0,5 Crore+,KARNATAKA,Graduate Professional
SEMARIYA,INC,0,340000000.0,3 Crore+,MADHYA PRADESH,Graduate
SRISAILAM,YSRCP,1,680000000.0,16 Crore+,ANDHRA PRADESH,12th Pass
NANDGAON,SHS,7,110000000.0,1 Crore+,MAHARASHTRA,Graduate
ERODE WEST,DMK,9,130000000.0,0,TAMIL NADU,Post Graduate
NANDIGRAM,BJP,1,10000000.0,0,WEST BENGAL,Post Graduate
SHAHPURA,INC,3,300000.0,0,RAJASTHAN,Post Graduate
LAILUNGA (ST),INC,0,10000000.0,4 Lac+,CHHATTISGARH,12th Pass
ALONG EAST,BJP,0,80000000.0,9 Lac+,ARUNACHAL PRADESH,Graduate Professional
JHARGRAM,AITC,0,300000.0,0,WEST BENGAL,Graduate
NEHTAUR (SC),BJP,0,340000000.0,12 Crore+,UTTAR PRADESH,12th Pass
SIDHAULI (SC),BJP,5,40000000.0,1 Crore+,UTTAR PRADESH,Post Graduate
